Organism.Name	Super.Group
Salix udensis	Streptophyta
Diphasiastrum complanatum	Streptophyta
Iris pallida	Streptophyta
Salix viminalis	Streptophyta
Populus alba x Populus x berolinensis	Streptophyta
Salix purpurea	Streptophyta
Salix koriyanagi	Streptophyta
Quillaja saponaria	Streptophyta
Carnegiea gigantea	Streptophyta
Anisodus acutangulus	Streptophyta
Erythroxylum novogranatense	Streptophyta
Centaurea solstitialis	Streptophyta
Vitis rotundifolia	Streptophyta
Hibiscus trionum	Streptophyta
Cryptomeria japonica	Streptophyta
Trifolium repens	Streptophyta
Acer saccharum	Streptophyta
Acorus gramineus	Streptophyta
Acorus calamus	Streptophyta
Heracleum sosnowskyi	Streptophyta
Tagetes erecta	Streptophyta
Lolium multiflorum	Streptophyta
Solanum verrucosum	Streptophyta
Dipteronia dyeriana	Streptophyta
Escallonia rubra	Streptophyta
Escallonia herrerae	Streptophyta
Dipteronia sinensis	Streptophyta
Nepenthes gracilis	Streptophyta
Ficus carica	Streptophyta
Acacia crassicarpa	Streptophyta
Canna indica	Streptophyta
Sesamum angolense	Streptophyta
Sesamum alatum	Streptophyta
Anisodus tanguticus	Streptophyta
Penstemon davidsonii	Streptophyta
Quercus rubra	Streptophyta
Solanum pinnatisectum	Streptophyta
Trapa incisa	Streptophyta
Trapa natans	Streptophyta
Stylosanthes scabra	Streptophyta
Paspalum notatum var. saurae	Streptophyta
Vigna mungo	Streptophyta
Solanum bulbocastanum	Streptophyta
Dillenia turbinata	Streptophyta
Crotalaria pallida	Streptophyta
Psophocarpus tetragonolobus	Streptophyta
Phaseolus coccineus	Streptophyta
Canavalia gladiata	Streptophyta
Clitoria ternatea	Streptophyta
Hibiscus sabdariffa	Streptophyta
Platanthera zijinensis	Streptophyta
Platanthera guangdongensis	Streptophyta
Deinandra increscens subsp. villosa	Streptophyta
Stephania japonica	Streptophyta
Stephania yunnanensis	Streptophyta
Citrus x changshan-huyou	Streptophyta
Liquidambar formosana	Streptophyta
Saponaria officinalis	Streptophyta
Lithocarpus litseifolius	Streptophyta
Rubus argutus	Streptophyta
Sesamum angustifolium	Streptophyta
Sesamum calycinum	Streptophyta
Sesamum latifolium	Streptophyta
Sesamum radiatum	Streptophyta
Cucumis melo	Streptophyta
Dendrobium thyrsiflorum	Streptophyta
Cardamine amara subsp. amara	Streptophyta
Prunus speciosa	Streptophyta
Salvia divinorum	Streptophyta
Daucus carota	Streptophyta
Flemingia macrophylla	Streptophyta
Abeliophyllum distichum	Streptophyta
Forsythia ovata	Streptophyta
Riccia fluitans	Streptophyta
Solanum stoloniferum	Streptophyta
Coffea canephora	Streptophyta
Triticum turgidum subsp. durum	Streptophyta
Arabis nemorensis	Streptophyta
Spirodela intermedia	Streptophyta
Striga hermonthica	Streptophyta
Olea europaea subsp. europaea	Streptophyta
Microthlaspi erraticum	Streptophyta
Miscanthus lutarioriparius	Streptophyta
Arabidopsis arenosa	Streptophyta
Thlaspi arvense	Streptophyta
Fraxinus pennsylvanica	Streptophyta
Lactuca virosa	Streptophyta
Eruca vesicaria subsp. sativa	Streptophyta
Arabidopsis lyrata	Streptophyta
Linum tenue	Streptophyta
Closterium sp. Yama58-4	Streptophyta
Closterium sp. Naga37s-1	Streptophyta
Closterium sp. NIES-64	Streptophyta
Closterium sp. NIES-65	Streptophyta
Vicia faba	Streptophyta
Closterium sp. NIES-54	Streptophyta
Closterium sp. NIES-53	Streptophyta
Oldenlandia corymbosa var. corymbosa	Streptophyta
Lactuca saligna	Streptophyta
Sphenostylis stenocarpa	Streptophyta
Ilex paraguariensis	Streptophyta
Lathyrus sativus	Streptophyta
Dovyalis caffra	Streptophyta
Sphagnum troendelagicum	Streptophyta
Citrullus colocynthis	Streptophyta
Lupinus luteus	Streptophyta
Linum trigynum	Streptophyta
Urochloa decumbens	Streptophyta
Prunus brigantina	Streptophyta
Musa banksii	Streptophyta
Musa textilis	Streptophyta
Musa acuminata var. zebrina	Streptophyta
Musa hybrid cultivar	Streptophyta
Arabidopsis halleri	Streptophyta
Alopecurus aequalis	Streptophyta
Tetradesmus obliquus	Chlorophyta
Pseudo-nitzschia multistriata	Stramenopiles
Triticum urartu	Streptophyta
Bienertia sinuspersici	Streptophyta
Nelumbo nucifera	Streptophyta
Apium graveolens	Streptophyta
Ceratopteris richardii	Streptophyta
Stephania cephalantha	Streptophyta
Morus notabilis	Streptophyta
Capsicum chinense	Streptophyta
Carex littledalei	Streptophyta
Gossypium klotzschianum	Streptophyta
Dichanthelium oligosanthes	Streptophyta
Chlamydomonas reinhardtii	Chlorophyta
Cichorium endivia	Streptophyta
Salix suchowensis	Streptophyta
Adiantum nelumboides	Streptophyta
Persea americana	Streptophyta
Sphagnum jensenii	Streptophyta
Carpinus fangiana	Streptophyta
Klebsormidium nitens	Streptophyta
Chloropicon roscoffensis	Chlorophyta
Chloropicon primus	Chlorophyta
